"SK_SNAPSHOT_DATE","REGION_KEY","MAKE_MODEL_DESCRIPTION","VARIANT","DERIVATIVE","FUEL_TYPE","TRANSMISSION_TYPE","BODY_TYPE","NUMBER_OF_DOORS","ENGINE_CC_SIZE","VEHICLE_SECTOR","YEAR_OF_REGISTRATION","MILEAGE","VEHICLE_PRICE"
"20100101","SC","PEUGEOT 407","SALOON (2004 - 2008)","2.0 SE 4dr","Petrol","Manual","Saloon","4","1997","Upper Medium Cars","2006","33950","5891"
"20100101","SC","PEUGEOT 407","SALOON (2004 - 2008)","2.0 SE 4dr","Petrol","Manual","Saloon","4","1997","Upper Medium Cars","2005","50500","5988"
"20100101","SC","VOLVO V50","ESTATE (2004 - 2012)","2.4 S 5dr","Petrol","Manual","Estate","5","2435","Premium Upper Medium Cars","2004","40419","6488"
"20100101","SC","BMW X3","SUV (2004 - 2006)","2.5 i SE 5dr","Petrol","Automatic","SUV","5","2494","Premium 4X4 SUV","2005","32738","13995"
"20100101","SC","BMW X3","SUV (2004 - 2006)","2.5 i SE 5dr","Petrol","Automatic","SUV","5","2494","Premium 4X4 SUV","2008","13467","19000"
"20100101","SC","BMW X3","SUV (2004 - 2006)","2.5 i SE 5dr","Petrol","Automatic","SUV","5","2494","Premium 4X4 SUV","2008","8003","19000"
"20100101","SC","CITROEN XSARA PICASSO","MPV (2000 - 2005)","1.6 HDi Desire 5dr","Diesel","Manual","MPV","5","1560","Compact MPVs","2007","20539","7495"
"20100101","SC","CITROEN XSARA PICASSO","MPV (2000 - 2005)","1.6 HDi Desire 5dr","Diesel","Manual","MPV","5","1560","Compact MPVs","2006","50535","6488"
"20100101","SC","CITROEN XSARA PICASSO","MPV (2000 - 2005)","1.6 HDi Desire 5dr","Diesel","Manual","MPV","5","1560","Compact MPVs","2004","28436","5988"
"20100101","SC","CITROEN XSARA PICASSO","MPV (2000 - 2005)","1.6 HDi Desire 5dr","Diesel","Manual","MPV","5","1560","Compact MPVs","2006","24000","6295"
"20100101","SC","CITROEN XSARA PICASSO","MPV (2000 - 2005)","1.6 HDi Desire 5dr","Diesel","Manual","MPV","5","1560","Compact MPVs","2005","72000","5495"
"20100101","SC","CITROEN XSARA PICASSO","MPV (2000 - 2005)","1.6 HDi Desire 5dr","Diesel","Manual","MPV","5","1560","Compact MPVs","2004","37981","5487"
